news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
Miami Herald,left-center,2,News Media,231,255,0.47530864197530864,https://www.allsides.com/news-source/miami-herald,0,0,0,1,Low or Initial Rating,https://twitter.com/MiamiHerald,https://en.wikipedia.org/wiki/Miami_Herald,https://www.facebook.com/miamiherald,MiamiHerald
Michael Barone,right-center,4,Author,106,83,0.5608465608465608,https://www.allsides.com/news-source/michael-barone,checked,0,0,0,NA,NA,NA,NA,NA
Michael Brendan Dougherty,right-center,4,Author,72,78,0.48,https://www.allsides.com/news-source/michael-brendan-dougherty,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Michael Gerson,right-center,4,Author,123,106,0.537117903930131,https://www.allsides.com/news-source/michael-gerson,checked,0,0,0,NA,NA,NA,NA,NA
Michael Goodwin,right,5,Author,44,29,0.6027397260273972,https://www.allsides.com/news-source/michael-goodwin,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Michael Graham,right,5,Author,8,14,0.36363636363636365,https://www.allsides.com/news-source/michael-graham-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Michael Kinsley,left,1,Author,71,55,0.5634920634920635,https://www.allsides.com/news-source/michael-kinsley,0,0,0,1,Medium,NA,NA,NA,NA
Michael Medved,right,5,Author,88,103,0.4607329842931937,https://www.allsides.com/news-source/michael-medved,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Michael Ramirez (cartoonist),right,5,Author,41,51,0.44565217391304346,https://www.allsides.com/news-source/michael-ramirez-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Michelle Alexander,left-center,2,Author,20,20,0.5,https://www.allsides.com/news-source/michelle-alexander-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Michelle Malkin,right,5,Author,332,179,0.649706457925636,https://www.allsides.com/news-source/michelle-malkin,0,0,0,0,NA,NA,NA,NA,NA
MichelleMalkin.com,right,5,News Media,491,234,0.6772413793103448,https://www.allsides.com/news-source/michellemalkincom,0,0,0,1,NA,NA,https://en.wikipedia.org/wiki/MichelleMalkin.com,NA,NA
Michigan Daily,left-center,2,News Media,187,164,0.5327635327635327,https://www.allsides.com/news-source/michigan-daily,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Mike Lester (cartoonist),right,5,Author,14,7,0.6666666666666666,https://www.allsides.com/news-source/mike-lester-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Mike Luckovich (cartoonist),left,1,Author,72,59,0.549618320610687,https://www.allsides.com/news-source/mike-luckovich-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Mike Thompson (cartoonist),center,3,Author,40,55,0.42105263157894735,https://www.allsides.com/news-source/mike-thompson-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Mismatch.org,allsides,NA,News Media,38,54,0.41304347826086957,https://www.allsides.com/news-source/mismatchorg-media-bias,0,0,0,1,High,NA,NA,NA,NA
MIT News,center,3,News Media,180,145,0.5538461538461539,https://www.allsides.com/news-source/mit-news,0,0,0,1,Low or Initial Rating,https://twitter.com/mit,NA,https://www.facebook.com/MITnews,mit
Morgan Jacobsen,center,3,Author,56,78,0.417910447761194,https://www.allsides.com/news-source/morgan-jacobsen,0,0,0,0,NA,NA,NA,NA,NA
Mother Jones,left,1,News Media,5412,1010,0.8427281220803488,https://www.allsides.com/news-source/mother-jones-bias,0,0,0,0,NA,https://twitter.com/MotherJones,https://en.wikipedia.org/wiki/Mother_Jones_(magazine),https://www.facebook.com/motherjones/,MotherJones
MSNBC,left,1,News Media,5681,1923,0.7471067859021567,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,https://twitter.com/@MSNBC,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC
MTV News Online,left-center,2,News Media,29,37,0.4393939393939394,https://www.allsides.com/news-source/mtv-news-online-media-bias,0,0,0,1,NA,NA,NA,NA,NA
National Committee to Preserve Social Security and Medicare,left,1,Think Tank / Policy Group,184,187,0.49595687331536387,https://www.allsides.com/news-source/national-committee-preserve-social-security-and-medicare,0,0,0,0,NA,NA,NA,NA,NA
National Interest,center,3,Think Tank / Policy Group,127,165,0.4349315068493151,https://www.allsides.com/news-source/national-interest,0,0,0,1,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/The_National_Interest,NA,NA
National Journal,center,3,News Media,899,647,0.5815006468305304,https://www.allsides.com/news-source/national-journal,0,0,0,0,NA,NA,NA,NA,NA
National Review,right,5,News Media,9338,4448,0.6773538372261715,https://www.allsides.com/news-source/national-review,0,0,0,1,Medium,https://twitter.com/NRO,https://en.wikipedia.org/wiki/National_Review,https://www.facebook.com/nationalreview/,NRO
NBC Today Show,left-center,2,News Media,1026,1172,0.46678798908098273,https://www.allsides.com/news-source/nbc-today-show,checked,0,0,0,NA,https://twitter.com/@TODAYshow,https://en.wikipedia.org/wiki/TODAY.com,NA,TODAYshow
NBCNews.com,left-center,2,News Media,4221,5408,0.4383632775989199,https://www.allsides.com/news-source/nbc-news-media-bias,0,0,1,1,Medium,https://twitter.com/@JoshNBCNews,https://en.wikipedia.org/wiki/NBC_News,https://www.facebook.com/NBCNews/,JoshNBCNews
Neil J. Young,left-center,2,Author,6,12,0.3333333333333333,https://www.allsides.com/news-source/neil-j-young-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
New Economy Working Group,left-center,2,Think Tank / Policy Group,98,67,0.593939393939394,https://www.allsides.com/news-source/new-economy-working-group,0,0,0,0,NA,NA,NA,NA,NA
New Republic,left,1,News Media,1254,673,0.6507524649714582,https://www.allsides.com/news-source/new-republic,0,0,0,1,Low or Initial Rating,https://twitter.com/newrepublic,https://en.wikipedia.org/wiki/The_New_Republic,https://www.facebook.com/newrepublic/,newrepublic
New York Daily News,left,1,News Media,1015,450,0.6928327645051194,https://www.allsides.com/news-source/new-york-daily-news,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
New York Magazine,left,1,News Media,1711,785,0.6854967948717948,https://www.allsides.com/news-source/new-york-magazine,0,0,0,1,Low or Initial Rating,https://twitter.com/Intelligencer,https://en.wikipedia.org/wiki/New_York_(magazine),"
https://www.facebook.com/NewYorkMag",Intelligencer
New York Post,right,5,News Media,3669,2522,0.5926344693910516,https://www.allsides.com/news-source/new-york-post,0,0,0,1,Low or Initial Rating,https://twitter.com/@nypost,https://en.wikipedia.org/wiki/New_York_Post,https://www.facebook.com/NYPost/,nypost
New York Times - News,left-center,2,News Media,15675,25234,0.38316751815004035,https://www.allsides.com/news-source/new-york-times,1,1,1,1,High,https://twitter.com/@rpogrebin?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin
New York Times - Opinion,left,1,News Media,2716,840,0.7637795275590551,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,1,0,0,1,High,https://twitter.com/@rpogrebin?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin
NewsBusters,right,5,Think Tank / Policy Group,288,162,0.64,https://www.allsides.com/news-source/newsbusters,0,0,0,0,NA,NA,NA,NA,NA
Newsmax,right,5,News Media,6840,8978,0.43241876343406244,https://www.allsides.com/news-source/newsmax,0,1,0,1,Medium,https://twitter.com/newsmax,https://en.wikipedia.org/wiki/Newsmax_Media,https://www.facebook.com/newsmax/?ref=br_rs,newsmax
Newsweek,left-center,2,News Media,2037,2470,0.451963612158864,https://www.allsides.com/news-source/newsweek,0,0,0,0,Medium,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast
Newt Gingrich,right,5,Author,429,181,0.7032786885245902,https://www.allsides.com/news-source/newt-gingrich,0,0,0,0,NA,NA,NA,NA,NA
Nicholas Kristof,left,1,Author,153,148,0.5083056478405316,https://www.allsides.com/news-source/nicholas-kristof,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Nick Anderson (cartoonist),center,3,Author,30,46,0.39473684210526316,https://www.allsides.com/news-source/nick-anderson-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
NMPolitics.net,center,3,News Media,140,196,0.4166666666666667,https://www.allsides.com/news-source/nmpoliticsnet,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
No Labels,center,3,Think Tank / Policy Group,90,66,0.5769230769230769,https://www.allsides.com/news-source/no-labels,0,0,0,0,NA,NA,NA,NA,NA
Noah Rothman,right-center,4,Author,22,16,0.5789473684210527,https://www.allsides.com/news-source/noah-rothman-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
NPR Editorial,left-center,2,News Media,1859,1966,0.48601307189542486,https://www.allsides.com/news-source/npr-editorial,1,0,0,1,Low or Initial Rating,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR
NPR Online News,center,3,News Media,19422,14510,0.5723800542260993,https://www.allsides.com/news-source/npr-media-bias,1,1,1,1,Medium,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR
One America News Network,right-center,4,News Media,408,416,0.49514563106796117,https://www.allsides.com/news-source/one-america-news-network-media-bias,1,0,0,1,Low or Initial Rating,NA,NA,NA,NA
OpenSecrets.org,center,3,Think Tank / Policy Group,398,325,0.5504840940525588,https://www.allsides.com/news-source/opensecretsorg,0,0,0,1,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/OpenSecrets,NA,NA
Orange County Register,right-center,4,News Media,197,163,0.5472222222222223,https://www.allsides.com/news-source/orange-county-register,0,0,0,1,Low or Initial Rating,https://twitter.com/ocregister,https://en.wikipedia.org/wiki/Orange_County_Register,https://www.facebook.com/ocregister,ocregister
Pacific Research Institute,right,5,Think Tank / Policy Group,128,145,0.46886446886446886,https://www.allsides.com/news-source/pacific-research-institute,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Pacific Standard,left-center,2,News Media,336,294,0.5333333333333333,https://www.allsides.com/news-source/pacific-standard,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Pat Oliphant (cartoonist),center,3,Author,42,49,0.46153846153846156,https://www.allsides.com/news-source/pat-oliphant-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Paul Krugman,left,1,Author,307,193,0.614,https://www.allsides.com/news-source/paul-krugman,0,0,0,1,High,NA,NA,NA,NA
Paul Szep (cartoonist),center,3,Author,50,44,0.5319148936170213,https://www.allsides.com/news-source/paul-szep-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
PBS NewsHour,center,3,News Media,2039,1494,0.5771299179167846,https://www.allsides.com/news-source/pbs-newshour,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/PBS_NewsHour,NA,NA
Peacock Panache,left,1,News Media,145,75,0.6590909090909091,https://www.allsides.com/news-source/peacock-panache,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Peggy Noonan,right,5,Author,239,322,0.42602495543672014,https://www.allsides.com/news-source/peggy-noonan,0,0,0,1,NA,NA,NA,NA,NA
People for the American Way,left,1,Think Tank / Policy Group,175,112,0.6097560975609756,https://www.allsides.com/news-source/people-american-way,0,0,0,0,NA,NA,NA,NA,NA
Peter Roff,right-center,4,Author,176,113,0.6089965397923875,https://www.allsides.com/news-source/peter-roff,0,0,0,1,Medium,NA,NA,NA,NA
Peter Thiel,right-center,4,Author,10,20,0.3333333333333333,https://www.allsides.com/news-source/peter-thiel-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Physicians for a National Health Program,left,1,Think Tank / Policy Group,125,90,0.5813953488372093,https://www.allsides.com/news-source/physicians-national-health-program,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Piers Morgan,left-center,2,Author,184,349,0.3452157598499062,https://www.allsides.com/news-source/piers-morgan,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Pittsburgh Post-Gazette,right-center,4,News Media,186,221,0.457002457002457,https://www.allsides.com/news-source/pittsburgh-post-gazette,0,0,0,1,Low or Initial Rating,https://twitter.com/PittsburghPG,https://en.wikipedia.org/wiki/Pittsburgh_Post-Gazette,https://www.facebook.com/pittsburghpostgazette,PittsburghPG
PJ Media,right-center,4,News Media,95,79,0.5459770114942529,https://www.allsides.com/news-source/pj-media-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
PJ Media,right,5,News Media,163,88,0.649402390438247,https://www.allsides.com/news-source/pj-media,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/PJ_Media,NA,NA
Politico,left-center,2,News Media,13776,21465,0.39090831701711076,https://www.allsides.com/news-source/politico-media-bias,1,1,1,1,Medium,https://twitter.com/politico,https://en.wikipedia.org/wiki/Politico,https://www.facebook.com/politico/,politico
PoliticusUSA,left,1,News Media,786,254,0.7557692307692307,https://www.allsides.com/news-source/politicususa,0,0,0,0,Low or Initial Rating,https://twitter.com/@politicususa,NA,https://www.facebook.com/PoliticusUSA/,politicususa
PolitiFact,left-center,2,News Media,1520,2138,0.4155276107162384,https://www.allsides.com/news-source/politifact,0,0,0,1,Low or Initial Rating,https://twitter.com/politifact,https://en.wikipedia.org/wiki/PolitiFact,https://facebook.com/politifact,politifact
Portland Press Herald,center,3,News Media,161,245,0.39655172413793105,https://www.allsides.com/news-source/portland-press-herarld,0,0,0,1,Medium,https://twitter.com/PressHerald,https://en.wikipedia.org/wiki/Portland_Press_Herald,https://www.facebook.com/pressherald/,PressHerald
Prager University,right,5,Think Tank / Policy Group,1616,423,0.7925453653751839,https://www.allsides.com/news-source/prager-university,0,0,0,1,High,https://twitter.com/prageru?,NA,https://www.facebook.com/prageru/,prageru
PRI (Public Radio International),center,3,News Media,610,346,0.6380753138075314,https://www.allsides.com/news-source/pri-public-radio-international,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
ProCon.org,allsides,NA,News Media,2862,1673,0.6310915104740904,https://www.allsides.com/news-source/proconorg,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Progressive Voices of Iowa,left,1,News Media,145,80,0.6444444444444445,https://www.allsides.com/news-source/progressive-voices-iowa,0,0,0,1,Low or Initial Rating,NA,NA,https://www.facebook.com/ProgressiveVoicesofIowa/,NA
Project Veritas,right-center,4,News Media,31,46,0.4025974025974026,https://www.allsides.com/news-source/project-veritas-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
ProPublica,center,3,News Media,839,531,0.6124087591240875,https://www.allsides.com/news-source/propublica,0,0,0,0,NA,https://twitter.com/@zahiratorres,https://en.wikipedia.org/wiki/ProPublica,NA,zahiratorres
PXW News,center,3,News Media,126,132,0.4883720930232558,https://www.allsides.com/news-source/pxw-news,0,0,0,1,Low or Initial Rating,https://twitter.com/pxwnews,NA,NA,pxwnews
Quartz,center,3,News Media,473,424,0.5273132664437012,https://www.allsides.com/news-source/quartz,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Quillette,right-center,4,News Media,282,482,0.36910994764397903,https://www.allsides.com/news-source/quillette-media-bias,1,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Rachel Eckhardt,left-center,2,Author,26,42,0.38235294117647056,https://www.allsides.com/news-source/rachel-eckhardt,0,0,0,1,Medium,NA,NA,NA,NA
Rahm Emanuel,left-center,2,Author,9,34,0.20930232558139536,https://www.allsides.com/news-source/rahm-emanuel-media-bias,0,0,0,0,NA,NA,NA,NA,NA
Ralph Benko,right,5,Author,43,69,0.38392857142857145,https://www.allsides.com/news-source/ralph-benko,0,0,0,1,Medium,NA,NA,NA,NA
Ramesh Ponnuru,right,5,Author,107,74,0.5911602209944752,https://www.allsides.com/news-source/ramesh-ponnuru,0,0,0,1,NA,NA,NA,NA,NA
RAND Corporation,left-center,2,Think Tank / Policy Group,389,495,0.44004524886877827,https://www.allsides.com/news-source/rand-corporation,0,0,0,0,NA,NA,NA,NA,NA
Rand Paul,right-center,4,Author,363,309,0.5401785714285714,https://www.allsides.com/news-source/rand-paul,checked,0,0,0,NA,NA,NA,NA,NA
Rasmussen Reports,center,3,News Media,451,656,0.4074074074074074,https://www.allsides.com/news-source/rasmussen-reports,0,0,0,0,NA,NA,NA,NA,NA
Raw Story,left,1,News Media,491,297,0.6230964467005076,https://www.allsides.com/news-source/raw-story,checked,0,0,0,NA,https://twitter.com/RawStory,https://en.wikipedia.org/wiki/The_Raw_Story,https://www.facebook.com/TheRawStory/,RawStory
RealClearPolitics,center,3,News Media,2787,2415,0.5357554786620531,https://www.allsides.com/news-source/real-clear-politics,0,0,0,0,NA,https://twitter.com/RealClearNews,https://en.wikipedia.org/wiki/RealClearPolitics,https://www.facebook.com/realclearpolitics/,RealClearNews
Reason,right-center,4,News Media,5258,3529,0.5983839763286674,https://www.allsides.com/news-source/reason,0,0,0,1,Low or Initial Rating,https://twitter.com/reason,https://en.wikipedia.org/wiki/Reason.com,https://facebook.com/Reason.Magazine,reason
Reason Foundation,right-center,4,Think Tank / Policy Group,115,121,0.4872881355932203,https://www.allsides.com/news-source/reason-foundation,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Record Journal,center,3,News Media,102,117,0.4657534246575342,https://www.allsides.com/news-source/record-journal,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Red State,right,5,News Media,601,199,0.75125,https://www.allsides.com/news-source/red-state,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
redefinED,center,3,Think Tank / Policy Group,127,66,0.6580310880829016,https://www.allsides.com/news-source/redefined,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Rem Reider,center,3,Author,70,90,0.4375,https://www.allsides.com/news-source/rem-reider,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Reuters,center,3,News Media,6834,4515,0.6021675918583135,https://www.allsides.com/news-source/reuters,0,0,0,1,Low or Initial Rating,https://twitter.com/@Reuters,https://en.wikipedia.org/wiki/Reuters,https://www.facebook.com/Reuters/,Reuters
Rich Lowry,right,5,Author,187,173,0.5194444444444445,https://www.allsides.com/news-source/rich-lowry-syndicated-columnist,checked,0,0,0,NA,NA,NA,NA,NA
Rich Tafel,center,3,Author,67,62,0.5193798449612403,https://www.allsides.com/news-source/rich-tafel,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Rich Zeoli,right-center,4,Author,62,56,0.5254237288135594,https://www.allsides.com/news-source/rich-zeoli,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Richard A. Lowry,right,5,Author,73,52,0.584,https://www.allsides.com/news-source/richard-lowry,checked,0,0,0,NA,NA,NA,NA,NA
Richard M. Cohen,left-center,2,Author,30,15,0.6666666666666666,https://www.allsides.com/news-source/richard-cohen,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Richmond Times Dispatch,right-center,4,News Media,205,153,0.5726256983240223,https://www.allsides.com/news-source/richmond-times-dispatch,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/Richmond_Times-Dispatch,https://www.facebook.com/TimesDispatch/,NA
Rick Ungar,left-center,2,Author,128,124,0.5079365079365079,https://www.allsides.com/news-source/rick-ungar,0,0,0,1,NA,NA,NA,NA,NA
Right - Major Media Sources,right,5,News Media,261,252,0.5087719298245614,https://www.allsides.com/news-source/right-major-publications,checked,0,0,0,NA,NA,NA,NA,NA
Right Guest Commentaries,right,5,Author,54,46,0.54,https://www.allsides.com/news-source/right-guest-commentaries,checked,0,0,0,NA,NA,NA,NA,NA
Right Side News,right,5,News Media,406,197,0.6733001658374793,https://www.allsides.com/news-source/right-side-news,checked,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Right Wing News,right,5,News Media,352,153,0.697029702970297,https://www.allsides.com/news-source/right-wing-news,0,0,0,1,High,NA,NA,NA,NA
Rob Rogers (cartoonist),left,1,Author,67,13,0.8375,https://www.allsides.com/news-source/rob-rogers-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Robert Ariail (cartoonist),center,3,Author,52,58,0.4727272727272727,https://www.allsides.com/news-source/robert-ariail-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Robert Samuelson,center,3,Author,103,113,0.47685185185185186,https://www.allsides.com/news-source/robert-samuelson,checked,0,0,0,NA,NA,NA,NA,NA
Roll Call,center,3,News Media,71,69,0.5071428571428571,https://www.allsides.com/news-source/roll-call-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
RollingStone.com,left,1,News Media,1344,364,0.7868852459016393,https://www.allsides.com/news-source/rolling-stone,0,0,0,0,NA,http://twitter.com/rollingstone,https://en.wikipedia.org/wiki/Rolling_Stone,NA,rollingstone
Ross Douthat,right-center,4,Author,116,76,0.6041666666666666,https://www.allsides.com/news-source/ross-douthat,checked,0,0,0,NA,NA,NA,NA,NA
Ruth Marcus,left-center,2,Author,125,132,0.48638132295719844,https://www.allsides.com/news-source/ruth-marcus,0,0,0,0,NA,NA,NA,NA,NA
Ryan Cooper,left,1,Author,258,69,0.7889908256880734,https://www.allsides.com/news-source/ryan-cooper,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Ryan Cooper,left,1,Author,71,42,0.6283185840707964,https://www.allsides.com/news-source/ryan-cooper-0,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Sally Pipes,right,5,Author,206,89,0.6983050847457627,https://www.allsides.com/news-source/sally-pipes,checked,0,0,0,NA,NA,NA,NA,NA
Salon,left,1,News Media,10912,4980,0.6866347847973824,https://www.allsides.com/news-source/salon,0,0,0,1,Medium,https://twitter.com/Salon,https://en.wikipedia.org/wiki/Salon_(website),https://www.facebook.com/salon/,Salon
San Francisco Chronicle,left,1,News Media,843,278,0.752007136485281,https://www.allsides.com/news-source/san-francisco-chronicle,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
San Jose Mercury News,left-center,2,News Media,333,362,0.479136690647482,https://www.allsides.com/news-source/san-jose-mercury-news,0,0,0,0,Low or Initial Rating,https://twitter.com/mercnews,https://en.wikipedia.org/wiki/The_Mercury_News,https://www.facebook.com/mercurynews,mercnews
SBG,center,3,Author,50,45,0.5263157894736842,https://www.allsides.com/news-source/sbg,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Science Daily,center,3,News Media,396,242,0.6206896551724138,https://www.allsides.com/news-source/science-daily,0,0,0,1,Low or Initial Rating,https://twitter.com/ScienceDaily,https://en.wikipedia.org/wiki/ScienceDaily,https://www.facebook.com/sciencedaily/,ScienceDaily
Scientific American,center,3,News Media,947,453,0.6764285714285714,https://www.allsides.com/news-source/scientific-american,0,0,0,0,Low or Initial Rating,https://twitter.com/sciam,https://en.wikipedia.org/wiki/Scientific_American,https://www.facebook.com/ScientificAmerican/,sciam
Scott Adams,center,3,Author,15,17,0.46875,https://www.allsides.com/news-source/scott-adams-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Scott Stantis (cartoonist),right,5,Author,36,54,0.4,https://www.allsides.com/news-source/scott-stantis-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
SF Weekly,center,3,News Media,209,282,0.4256619144602851,https://www.allsides.com/news-source/sf-weekly,checked,0,0,0,NA,NA,https://en.wikipedia.org/wiki/SF_Weekly,NA,NA
SFGate,left-center,2,News Media,385,433,0.4706601466992665,https://www.allsides.com/news-source/sf-gate,0,0,0,0,NA,https://twitter.com/sfgate/,https://en.wikipedia.org/wiki/San_Francisco_Chronicle,https://www.facebook.com/SFGate/,sfgate
Signe Wilkinson (cartoonist),left,1,Author,25,17,0.5952380952380952,https://www.allsides.com/news-source/signe-wilkinson-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Sky-Hi Daily News,left-center,2,News Media,114,96,0.5428571428571428,https://www.allsides.com/news-source/sky-hi-daily-news,0,0,0,0,NA,NA,NA,NA,NA
Slate,left,1,News Media,3325,2384,0.5824137327027501,https://www.allsides.com/news-source/slate,1,0,1,1,Low or Initial Rating,https://twitter.com/Slate,https://en.wikipedia.org/wiki/Slate_(magazine),https://www.facebook.com/Slate/,Slate
Small World (cartoonist),left,1,Author,14,25,0.358974358974359,https://www.allsides.com/news-source/small-world-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Smerconish,center,3,News Media,94,140,0.4017094017094017,https://www.allsides.com/news-source/smerconish-media-bias,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Socialist Alternative,left,1,News Media,387,168,0.6972972972972973,https://www.allsides.com/news-source/socialist-alternative,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Socialist Project/The Bullet,left,1,News Media,336,146,0.6970954356846473,https://www.allsides.com/news-source/socialist-projectthe-bullet,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Splinter,left,1,News Media,157,41,0.7929292929292929,https://www.allsides.com/news-source/splinter-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Spokesman Review,left-center,2,News Media,164,181,0.4753623188405797,https://www.allsides.com/news-source/spokesman-review,0,0,0,1,Low or Initial Rating,https://twitter.com/SpokesmanReview,NA,https://www.facebook.com/spokesmanreview/,SpokesmanReview
State Journal,left-center,2,News Media,137,194,0.41389728096676737,https://www.allsides.com/news-source/state-journal,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Steve Benson (cartoonist),left,1,Author,51,47,0.5204081632653061,https://www.allsides.com/news-source/steve-benson-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Steve Breen (cartoonist),center,3,Author,51,40,0.5604395604395604,https://www.allsides.com/news-source/steve-breen-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Steve Kelley (cartoonist),right,5,Author,28,30,0.4827586206896552,https://www.allsides.com/news-source/steve-kelley-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Steve Sack (cartoonist),left,1,Author,41,22,0.6507936507936508,https://www.allsides.com/news-source/steve-sack-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
StoryCorps,allsides,NA,News Media,11,11,0.5,https://www.allsides.com/news-source/storycorps-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Stuart Carlson (cartoonist),left,1,Author,22,31,0.41509433962264153,https://www.allsides.com/news-source/stuart-carlson-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Subverse,center,3,News Media,10,0,1,https://www.allsides.com/news-source/subverse-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Suspend Belief Podcast,allsides,NA,News Media,117,144,0.4482758620689655,https://www.allsides.com/news-source/suspend-belief-podcast,0,0,0,0,Low or Initial Rating,NA,NA,https://www.facebook.com/SuspendBelief/?fref=ts,NA
Tallahassee Democrat,center,3,News Media,194,185,0.5118733509234829,https://www.allsides.com/news-source/tallahassee-democrat,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
TechCrunch,center,3,News Media,329,199,0.6231060606060606,https://www.allsides.com/news-source/techcrunch-media-bias,0,0,0,0,Low or Initial Rating,https://twitter.com/TechCrunch?ref_src=twsrcgoogletwcampserptwgrauthor,https://en.wikipedia.org/wiki/TechCrunch,https://www.facebook.com/techcrunch/,TechCrunch
Ted Rall (cartoonist),left,1,Author,37,25,0.5967741935483871,https://www.allsides.com/news-source/ted-rall-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Teen Vogue,left-center,2,News Media,269,404,0.399702823179792,https://www.allsides.com/news-source/teen-vogue,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Test Source,center,3,News Media,112,123,0.4765957446808511,https://www.allsides.com/news-source/test-source,checked,0,0,0,NA,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews
